ORDER_ID,PRODUCT_ID,Product,DATE,CITY_ID,QUANTITY
WSBWZNMY-365853,MPPDA11,Peda,25 November 2016,AGR04,47
KKQVAFTK-295805,MPICCR8,Ice Cream,25 November 2016,JAM01,46
OUJEVWDE-163328,SUDCMK6,Sudha Cow Milk,25 November 2016,DHA02,94
PWYCIOFU-775497,MPPDA11,Peda,26 November 2016,IND01,97
FFUSITHM-170475,MPRSGL15,Rasogulla,27 November 2016,DHA02,101
QVZEBCQZ-006908,MPPDA11,Peda,27 November 2016,DHA02,33
TNMZVNSV-440189,SUDGLD1,Sudha Gold,27 November 2016,JAB03,26
YTWIRXPI-919597,SUDGLD1,Sudha Gold,28 November 2016,JAM01,98
XLULBNNC-406359,SUDLIT2,Sudha Lite,28 November 2016,DEO05,148
PIFMHWZW-673285,MPLSSI9,Lassi,29 November 2016,UJJ05,55
SLZDZZPE-303817,SUDLIT2,Sudha Lite,29 November 2016,DHA02,106
EGECCLLV-781490,MPMTDH10,Mishti dahi,29 November 2016,IND01,39
YABJDLSW-570419,SUDSHT3,Sudha Shakti,29 November 2016,KAN01,88
QRLHQQPV-903572,MPKALA14,Kalakand,29 November 2016,GHA03,86
APUBRMLA-299694,MPGUJA16,GulabJamun,02 December 2016,NAJ4,67
SIKHIYEO-403092,MPGHEE7,GHEE,02 December 2016,NAR3,67
NZONRYNG-834839,MPKALA14,Kalakand,02 December 2016,NAR3,10
FBTNJZRA-091394,SUDGLD1,Sudha Gold,03 December 2016,LUC02,64
ELLYBHSZ-851463,MPGUJA16,GulabJamun,04 December 2016,KAN01,45
CJUMDYUU-454669,SUDHEL4,Sudha Healthy,04 December 2016,IND01,27
NNVCQCJU-198227,MPMTDH10,Mishti dahi,04 December 2016,DHA02,148
QVYLOJLI-079623,SUDSHT3,Sudha Shakti,04 December 2016,NAR3,130
EAUOWHWP-685139,MPBLSH18,Balusahi,05 December 2016,NAR3,82
DIQCIDFM-155287,MPLSSI9,Lassi,06 December 2016,RAN03,25
DZAASGMA-665614,MPLSSI9,Lassi,06 December 2016,BSC04,32
FLGEQMJW-442175,SUDGLD1,Sudha Gold,06 December 2016,DEL1,12
MVLBAFFC-044888,MPGHEE7,GHEE,07 December 2016,DHA02,90
XDCQTZPE-468403,MPBLSH18,Balusahi,07 December 2016,BHO02,65
TIIFGIBA-732479,MPGHEE7,GHEE,08 December 2016,GAY02,62
XHSVUMEC-028177,MPBLSH18,Balusahi,08 December 2016,UJJ05,59
SYSKWIVH-364814,MPPDA11,Peda,08 December 2016,VAR05,17
SDLYIEDG-301227,MPPCRD17,Plain Curd,09 December 2016,JAM01,23
SIAKDXIW-320652,SUDSMT5,Sudha Smart,10 December 2016,IND01,120
BWPAPNVT-497913,MPKALA14,Kalakand,10 December 2016,NAJ4,77
SKRXLJVS-291052,SUDLIT2,Sudha Lite,10 December 2016,DHA02,64
DFYNKOCW-433311,MPPDA11,Peda,11 December 2016,LUC02,80
XNVZPJDO-425832,MPPCRD17,Plain Curd,11 December 2016,UJJ05,77
NEEUIEVI-966084,SUDLIT2,Sudha Lite,12 December 2016,RAN03,87
FWJPAGAM-183754,MPPANR12,Paneer,12 December 2016,UJJ05,71
TOVULCZX-449567,SUDGLD1,Sudha Gold,13 December 2016,NAN5,76
YZYAYJKF-998851,SUDSMT5,Sudha Smart,14 December 2016,GWA04,20
LWVSIZZX-729536,SUDHEL4,Sudha Healthy,14 December 2016,UJJ05,105
YTBCVGFW-399568,MPLSSI9,Lassi,14 December 2016,DHA02,41
ZDNAUBCQ-082600,SUDLIT2,Sudha Lite,14 December 2016,RAN03,134
DQSYJABQ-724468,SUDSMT5,Sudha Smart,14 December 2016,KAN01,134
DDEZANCN-751596,SUDHEL4,Sudha Healthy,14 December 2016,PAT01,136
UUXVAHCX-989294,MPLSSI9,Lassi,15 December 2016,RAN03,42
RLODFBME-486903,SUDLIT2,Sudha Lite,16 December 2016,UJJ05,79
CAIFIMQK-182315,MPPANR12,Paneer,17 December 2016,GWA04,71
JKRYFWMW-742820,SUDCMK6,Sudha Cow Milk,17 December 2016,NAR3,115
IAXIAQXP-510638,MPKALA14,Kalakand,18 December 2016,JAB03,98
WEHHVGJN-808593,MPMTDH10,Mishti dahi,18 December 2016,PUR01,106
VXXURKBY-391969,SUDCMK6,Sudha Cow Milk,19 December 2016,NAN5,62
LXSWGPCZ-408054,MPLSSI9,Lassi,19 December 2016,IND01,55
NINXRVZJ-980002,MPPANR12,Paneer,19 December 2016,IND01,55
IJZMMPGE-305952,MPBLSH18,Balusahi,19 December 2016,NAJ4,46
HXNZDWMF-868896,MPPANR12,Paneer,20 December 2016,BHO02,86
HDHUEMXQ-697456,SUDSHT3,Sudha Shakti,20 December 2016,VAR05,82
NGYXHDWW-782878,MPICCR8,Ice Cream,20 December 2016,DHA02,50
AEVWBNZO-571560,MPPDA11,Peda,21 December 2016,DEO05,79
LBVGXNVF-138250,MPPANR12,Paneer,21 December 2016,RAN03,116
SXPRJAOQ-835629,SUDLIT2,Sudha Lite,21 December 2016,BHG03,124
GTNOMPBV-941333,MPLSSI9,Lassi,22 December 2016,UJJ05,31
AAPBSEEX-969099,SUDGLD1,Sudha Gold,23 December 2016,LUC02,69
ONWNJJLF-234150,MPRSGL15,Rasogulla,23 December 2016,BHG03,76
NBILXOBY-414588,MPLSSI9,Lassi,23 December 2016,MUZ04,34
FMUPZDTU-058825,SUDSHT3,Sudha Shakti,24 December 2016,NAR3,132
CWPROEQL-774825,MPLSSI9,Lassi,25 December 2016,RAN03,49
GSXOQEJA-444447,SUDSMT5,Sudha Smart,26 December 2016,DEO05,92
BHXICWPL-870431,SUDGLD1,Sudha Gold,26 December 2016,UJJ05,120
XUDZHLUO-492380,MPPCRD17,Plain Curd,26 December 2016,PUR01,109
BDEVTIIR-192469,MPKALA14,Kalakand,27 December 2016,NAJ4,27
STKQVIGT-142203,SUDHEL4,Sudha Healthy,27 December 2016,BHO02,120
CBOMGNDJ-141147,MPBLSH18,Balusahi,27 December 2016,UJJ05,74
LSRCXYSJ-462543,MPICCR8,Ice Cream,27 December 2016,LUC02,33
XFZPSPUM-901997,MPLSSI9,Lassi,27 December 2016,BHG03,37
SRUNAXSW-774602,MPKALA14,Kalakand,27 December 2016,LUC02,138
XNXKDNCU-925127,SUDGLD1,Sudha Gold,28 December 2016,GHA03,38
DFUYNXIM-362290,SUDLIT2,Sudha Lite,28 December 2016,GAY02,90
DUWONXFT-838391,MPPCRD17,Plain Curd,28 December 2016,PAT01,62
SNXQAQER-893600,MPICCR8,Ice Cream,28 December 2016,DEO05,31
